Center.x,Center.y,Left.x,Left.y,Right.x,Right.y,Top.x,Top.y,Bottom.x,Bottom.y,avg_value
155.227,798.926,147.607,798.926,162.847,798.926,155.227,794.647,155.227,803.206,53.2059
1039.92,799.053,1031.53,799.053,1048.3,799.053,1039.92,793.837,1039.92,804.269,58.9143
1005.83,799.169,998.265,799.169,1013.4,799.169,1005.83,794.204,1005.83,804.135,57.7063
880.878,799.181,872.648,799.181,889.107,799.181,880.878,794.103,880.878,804.259,61.0435
846.299,798.554,839.27,798.554,853.327,798.554,846.299,794.04,846.299,803.068,59.56
810.166,798.619,802.839,798.619,817.492,798.619,810.166,794.291,810.166,802.948,59.0504
775.705,798.869,767.971,798.869,783.438,798.869,775.705,794.464,775.705,803.274,55.4786
740.5,798.733,733.26,798.733,747.739,798.733,740.5,794.282,740.5,803.184,57.7969
406.488,798.324,399.661,798.324,413.314,798.324,406.488,793.67,406.488,802.978,60.5339
370.484,798.028,364.009,798.028,376.959,798.028,370.484,793.93,370.484,802.127,57.6509
335.369,797.922,328.089,797.922,342.65,797.922,335.369,793.637,335.369,802.206,54.4173
299.561,798.258,292.887,798.258,306.236,798.258,299.561,794.144,299.561,802.373,57.1402
262.61,798.354,255.559,798.354,269.661,798.354,262.61,793.851,262.61,802.858,56.4426
226.945,798.011,219.651,798.011,234.239,798.011,226.945,793.733,226.945,802.289,59.2344
191.571,798.774,183.52,798.774,199.622,798.774,191.571,793.577,191.571,803.971,63.0581
118.569,797.564,111.259,797.564,125.879,797.564,118.569,793.704,118.569,801.423,52.0508
1076.35,799.203,1067.68,799.203,1085.01,799.203,1076.35,793.307,1076.35,805.1,64.9378
969.435,798.614,960.604,798.614,978.267,798.614,969.435,792.87,969.435,804.358,72.0863
915.375,798.705,906.282,798.705,924.468,798.705,915.375,793.252,915.375,804.158,70.8247
706.288,798.096,698.215,798.096,714.361,798.096,706.288,793.07,706.288,803.123,59.8025
671.126,798.284,663.207,798.284,679.044,798.284,671.126,793.478,671.126,803.091,60.4837
601.252,797.732,592.752,797.732,609.753,797.732,601.252,792.612,601.252,802.853,60.1607
565.75,797.399,557.491,797.399,574.01,797.399,565.75,792.676,565.75,802.121,57.2919
441.125,798.066,432.882,798.066,449.367,798.066,441.125,793.016,441.125,803.117,60.454
636.738,798.061,627.826,798.061,645.65,798.061,636.738,792.083,636.738,804.038,66.5628
476.027,797.255,466.932,797.255,485.121,797.255,476.027,791.801,476.027,802.709,71.1134
81.2922,797.764,72.2405,797.764,90.3439,797.764,81.2922,792.371,81.2922,803.156,62.7409
530.556,796.936,521.574,796.936,539.539,796.936,530.556,790.868,530.556,803.004,72.5047
1360.07,782.275,1353.21,782.275,1366.93,782.275,1360.07,778.619,1360.07,785.931,51.602
1288.62,780.924,1283.88,780.924,1293.37,780.924,1288.62,778.002,1288.62,783.846,51.12
1324.17,781.252,1316.97,781.252,1331.37,781.252,1324.17,776.725,1324.17,785.78,62.848
1252.35,780.282,1244.73,780.282,1259.98,780.282,1252.35,775.608,1252.35,784.957,62.3657
1218.13,780.307,1211,780.307,1225.27,780.307,1218.13,775.817,1218.13,784.798,54.9339
1182.38,781.003,1174.73,781.003,1190.04,781.003,1182.38,776.197,1182.38,785.809,60.5147
1111.69,780.551,1103.75,780.551,1119.62,780.551,1111.69,775.824,1111.69,785.277,58.3871
1041.48,780.253,1034.23,780.253,1048.72,780.253,1041.48,776.296,1041.48,784.21,59.3248
1005.92,779.918,998.36,779.918,1013.48,779.918,1005.92,775.761,1005.92,784.075,57.1716
970.486,779.832,963.012,779.832,977.961,779.832,970.486,775.75,970.486,783.914,60.5167
84.3029,779.496,78.4556,779.496,90.1501,779.496,84.3029,775.942,84.3029,783.049,51.8161
1146.24,780.162,1137.87,780.162,1154.6,780.162,1146.24,775.056,1146.24,785.269,71.5636
1075.51,779.687,1067.65,779.687,1083.37,779.687,1075.51,775.047,1075.51,784.327,59.6319
847.308,778.283,842.309,778.283,852.307,778.283,847.308,774.934,847.308,781.633,56.5079
601.727,778.98,595.327,778.98,608.126,778.98,601.727,774.924,601.727,783.037,59.7523
404.609,778,399.663,778,409.555,778,404.609,774.868,404.609,781.132,54.2656
191.162,778.986,184.196,778.986,198.128,778.986,191.162,774.756,191.162,783.216,57.5902
155.54,779.046,149.719,779.046,161.361,779.046,155.54,775.046,155.54,783.046,55.6923
119.485,778.696,112.416,778.696,126.554,778.696,119.485,775.044,119.485,782.348,52.0094
916.698,779.028,908.937,779.028,924.459,779.028,916.698,774.115,916.698,783.94,61
881.562,778.596,873.554,778.596,889.57,778.596,881.562,773.853,881.562,783.339,69.8323
811.352,778.475,803.318,778.475,819.385,778.475,811.352,773.772,811.352,783.178,65.8654
776.554,778.602,768.915,778.602,784.193,778.602,776.554,774.191,776.554,783.013,58.9638
741.349,778.58,733.294,778.58,749.403,778.58,741.349,773.869,741.349,783.291,63.5705
671.51,778.739,663.221,778.739,679.799,778.739,671.51,774.098,671.51,783.38,63.3733
637.072,778.786,629.97,778.786,644.174,778.786,637.072,774.42,637.072,783.151,63.128
566.598,778.677,559.131,778.677,574.065,778.677,566.598,774.192,566.598,783.162,58.7121
531.132,778.707,524.264,778.707,538,778.707,531.132,774.419,531.132,782.995,61.5926
298.308,778.555,290.504,778.555,306.112,778.555,298.308,773.819,298.308,783.29,59.7067
226.5,778.571,218.754,778.571,234.246,778.571,226.5,773.956,226.5,783.187,56.2632
706.41,778.672,697.827,778.672,714.993,778.672,706.41,773.465,706.41,783.879,77.5799
474.142,777.733,466.619,777.733,481.665,777.733,474.142,773.156,474.142,782.31,59.2889
439.097,777.553,431.138,777.553,447.055,777.553,439.097,772.837,439.097,782.269,68.8344
369.171,778.22,361.382,778.22,376.961,778.22,369.171,773.3,369.171,783.14,66.8993
333.292,777.579,325.756,777.579,340.827,777.579,333.292,772.721,333.292,782.437,55.8611
262.118,778.09,253.749,778.09,270.488,778.09,262.118,772.783,262.118,783.397,72.6171
1361.78,763.044,1354.79,763.044,1368.77,763.044,1361.78,759.721,1361.78,766.368,50.3824
1326.39,762.705,1320.34,762.705,1332.44,762.705,1326.39,758.99,1326.39,766.421,54.0538
1290.48,762.296,1282.59,762.296,1298.37,762.296,1290.48,757.32,1290.48,767.272,60.0455
1254.95,761.41,1247.68,761.41,1262.22,761.41,1254.95,756.847,1254.95,765.972,55.9375
1218.21,760.986,1210.7,760.986,1225.72,760.986,1218.21,756.724,1218.21,765.249,54.3609
1147.76,760.224,1139.85,760.224,1155.68,760.224,1147.76,755.649,1147.76,764.798,55.7113
1077.04,759.599,1071.48,759.599,1082.6,759.599,1077.04,755.971,1077.04,763.227,53.1772
915.869,760.247,908.431,760.247,923.307,760.247,915.869,756.065,915.869,764.429,66.1951
1183.61,760.664,1175.03,760.664,1192.19,760.664,1183.61,755.1,1183.61,766.228,67.4807
1111.74,760.162,1103.62,760.162,1119.86,760.162,1111.74,755.129,1111.74,765.195,68.2911
1006.47,759.708,999.156,759.708,1013.79,759.708,1006.47,755.512,1006.47,763.904,61.822
971.379,759.667,963.908,759.667,978.849,759.667,971.379,755.206,971.379,764.128,65.7576
881.049,759.689,874.007,759.689,888.091,759.689,881.049,755.419,881.049,763.958,67.045
809.976,759.329,801.891,759.329,818.061,759.329,809.976,754.951,809.976,763.707,61.7808
634.55,758.023,629.026,758.023,640.074,758.023,634.55,754.95,634.55,761.096,56.3973
190.884,758.307,186.053,758.307,195.715,758.307,190.884,755.036,190.884,761.578,53.6842
82.7733,759.055,75.248,759.055,90.2986,759.055,82.7733,754.8,82.7733,763.311,56
1042.16,759.226,1033.98,759.226,1050.33,759.226,1042.16,754.452,1042.16,764,65.125
846.031,759.344,837.516,759.344,854.546,759.344,846.031,753.98,846.031,764.707,71.2386
774.706,758.545,767.29,758.545,782.122,758.545,774.706,754.279,774.706,762.811,62.1833
704.221,758.231,696.054,758.231,712.389,758.231,704.221,753.742,704.221,762.719,61.7143
564.54,758.127,556.769,758.127,572.312,758.127,564.54,753.937,564.54,762.317,61.0576
529.552,758.407,521.849,758.407,537.254,758.407,529.552,753.804,529.552,763.011,65.02
476.155,758.066,468.981,758.066,483.33,758.066,476.155,753.978,476.155,762.155,59.88
439.86,758.583,432.785,758.583,446.935,758.583,439.86,754.296,439.86,762.869,66.9469
369.693,758.409,362.119,758.409,377.266,758.409,369.693,753.888,369.693,762.93,61.8271
334.14,758.521,326.773,758.521,341.508,758.521,334.14,753.864,334.14,763.178,56.3901
154.633,758.73,146.742,758.73,162.523,758.73,154.633,754.07,154.633,763.389,61.7083
119.102,758.129,111.778,758.129,126.425,758.129,119.102,754.004,119.102,762.255,53.1901
739.454,758.515,730.838,758.515,748.07,758.515,739.454,753.484,739.454,763.546,73.9593
670.424,757.786,662.341,757.786,678.507,757.786,670.424,753.078,670.424,762.495,73.0408
599.32,758,591.12,758,607.519,758,599.32,753.445,599.32,762.555,70.2333
298.195,758.207,289.483,758.207,306.907,758.207,298.195,752.659,298.195,763.755,69.0656
262.575,757.74,254.816,757.74,270.333,757.74,262.575,753.115,262.575,762.364,55.8582
226.797,757.88,218.648,757.88,234.945,757.88,226.797,752.83,226.797,762.929,65.4459
405.79,758.097,397.145,758.097,414.435,758.097,405.79,752.471,405.79,763.724,66.2787
1325.9,742.943,1318.8,742.943,1333,742.943,1325.9,738.937,1325.9,746.949,53.8609
1290.25,742.559,1283.95,742.559,1296.54,742.559,1290.25,738.833,1290.25,746.285,54.8182
1254.44,742.457,1248.61,742.457,1260.26,742.457,1254.44,738.777,1254.44,746.137,55.3146
1219.11,741.831,1211.65,741.831,1226.57,741.831,1219.11,737.712,1219.11,745.949,54.6475
1183.45,741.827,1176.63,741.827,1190.26,741.827,1183.45,737.63,1183.45,746.023,56.1765
1146.62,741.452,1138.81,741.452,1154.43,741.452,1146.62,736.736,1146.62,746.169,57.3137
1112.12,741.442,1104.93,741.442,1119.31,741.442,1112.12,736.977,1112.12,745.908,58.6
1076.25,741.004,1067.22,741.004,1085.29,741.004,1076.25,735.749,1076.25,746.26,64.1443
1041.72,740.441,1033.36,740.441,1050.09,740.441,1041.72,735.769,1041.72,745.113,59.3758
1004.82,739.93,997.435,739.93,1012.21,739.93,1004.82,735.793,1004.82,744.067,60.1374
880.418,740.003,872.639,740.003,888.196,740.003,880.418,735.783,880.418,744.222,64.7929
845.752,740.293,838.732,740.293,852.772,740.293,845.752,736.341,845.752,744.245,63.8246
810.541,739.617,803.853,739.617,817.228,739.617,810.541,735.988,810.541,743.247,61.8667
775.458,739.575,767.927,739.575,782.989,739.575,775.458,735.874,775.458,743.276,59.9667
740.354,739.498,732.926,739.498,747.783,739.498,740.354,735.862,740.354,743.135,61.6667
705.122,739.771,698.005,739.771,712.238,739.771,705.122,735.776,705.122,743.767,64.2212
369.407,739.324,362.592,739.324,376.223,739.324,369.407,735.716,369.407,742.931,61.4257
915.553,740.138,906.681,740.138,924.426,740.138,915.553,735.117,915.553,745.158,78.2556
669.817,739.01,662.091,739.01,677.543,739.01,669.817,734.77,669.817,743.25,64.9352
600.514,739.38,592.321,739.38,608.707,739.38,600.514,734.706,600.514,744.054,63.0886
440.646,739.018,432.862,739.018,448.429,739.018,440.646,734.856,440.646,743.179,64.2571
405.413,739.091,398.588,739.091,412.239,739.091,405.413,734.967,405.413,743.214,64.0932
334.246,739.182,326.499,739.182,341.993,739.182,334.246,734.699,334.246,743.665,55.2029
298.543,739.37,291.469,739.37,305.617,739.37,298.543,734.816,298.543,743.923,59.0248
264.245,739.462,256.744,739.462,271.745,739.462,264.245,734.888,264.245,744.037,54.7014
229.257,739.079,222.016,739.079,236.497,739.079,229.257,734.864,229.257,743.293,58.6905
157.334,738.944,149.594,738.944,165.075,738.944,157.334,734.658,157.334,743.23,55.5072
120.781,738.834,113.7,738.834,127.862,738.834,120.781,734.726,120.781,742.942,54.469
970.925,739.252,962.471,739.252,979.38,739.252,970.925,734.247,970.925,744.258,77.6446
635.074,739.434,626.31,739.434,643.838,739.434,635.074,734.185,635.074,744.683,72.7414
564.027,738.297,555.982,738.297,572.073,738.297,564.027,733.731,564.027,742.863,63.4
474.499,738.841,465.844,738.841,483.155,738.841,474.499,734.083,474.499,743.599,67.75
192.877,739.442,184.632,739.442,201.121,739.442,192.877,734.014,192.877,744.869,64.0245
85.3799,738.97,77.4194,738.97,93.3403,738.97,85.3799,733.79,85.3799,744.151,65.4417
529.481,738.835,520.179,738.835,538.783,738.835,529.481,733.476,529.481,744.194,76.8485
1359.61,722.726,1352.8,722.726,1366.42,722.726,1359.61,718.884,1359.61,726.568,51.7248
1288.53,722,1283.72,722,1293.33,722,1288.53,719.127,1288.53,724.873,51.1538
1323.35,721.626,1315.68,721.626,1331.02,721.626,1323.35,717.002,1323.35,726.25,62.1232
1252.39,721.758,1244.78,721.758,1260,721.758,1252.39,717.313,1252.39,726.202,60.4593
1216.12,721.566,1208.32,721.566,1223.92,721.566,1216.12,717.014,1216.12,726.118,55.5108
1181.95,721.671,1173.94,721.671,1189.97,721.671,1181.95,717.061,1181.95,726.281,59.5944
1075.94,721.503,1068.2,721.503,1083.67,721.503,1075.94,717.004,1075.94,726.002,60.2101
1041.16,721.274,1034.13,721.274,1048.18,721.274,1041.16,717.532,1041.16,725.015,59.2018
1005.38,720.804,997.759,720.804,1013.01,720.804,1005.38,716.74,1005.38,724.868,60.6694
